Token	POS-Tag	OOV	Id	Origem	Classe	Perturbada	Index	__next__	Granularidade	Tipo_Texto	Sentença
How	SCONJ	0	18p0	18p0	1	0	0	1	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
are	AUX	0	18p0	18p0	1	0	1	2	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
the	DET	0	18p0	18p0	1	0	2	3	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0	18p0	1	0	3	4	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
to	PART	0	18p0	18p0	1	0	4	5	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
enqueue	VERB	1	18p0	18p0	1	1	5	6	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0	18p0	1	0	6	7	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
dequeue	NOUN	1	18p0	18p0	1	0	7	8	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0	18p0	1	0	8	9	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
in	ADP	0	18p0	18p0	1	0	9	10	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
a	DET	0	18p0	18p0	1	0	10	11	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0	18p0	1	0	11	12	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0	18p0	1	0	12	13	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0	18p0	1	0	13	14	0	1	How are the operations to enqueue and dequeue elements in a stack implemented ?
0	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]	18p0	18p0	1	-1	-1		1	3	How are the operations to enqueue and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_0	18p0	0	0	0	16	0	0	How are the operations to store and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_0	18p0	0	0	1	17	0	0	How are the operations to store and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_0	18p0	0	0	2	18	0	0	How are the operations to store and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_0	18p0	0	0	3	19	0	0	How are the operations to store and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_0	18p0	0	0	4	20	0	0	How are the operations to store and dequeue elements in a stack implemented ?
store	VERB	0	18p0_pert_0	18p0	0	1	5	21	0	0	How are the operations to store and dequeue elements in a stack implemented ?
and	CCONJ	0	18p0_pert_0	18p0	0	0	6	22	0	0	How are the operations to store and dequeue elements in a stack implemented ?
dequeue	VERB	1	18p0_pert_0	18p0	0	0	7	23	0	0	How are the operations to store and dequeue elements in a stack implemented ?
elements	NOUN	0	18p0_pert_0	18p0	0	0	8	24	0	0	How are the operations to store and dequeue elements in a stack implemented ?
in	ADP	0	18p0_pert_0	18p0	0	0	9	25	0	0	How are the operations to store and dequeue elements in a stack implemented ?
a	DET	0	18p0_pert_0	18p0	0	0	10	26	0	0	How are the operations to store and dequeue elements in a stack implemented ?
stack	NOUN	0	18p0_pert_0	18p0	0	0	11	27	0	0	How are the operations to store and dequeue elements in a stack implemented ?
implemented	VERB	0	18p0_pert_0	18p0	0	0	12	28	0	0	How are the operations to store and dequeue elements in a stack implemented ?
?	PUNCT	0	18p0_pert_0	18p0	0	0	13	29	0	0	How are the operations to store and dequeue elements in a stack implemented ?
1	['SCONJ', 'AUX', 'DET', 'NOUN', 'PART', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	18p0_pert_0	18p0	0	-1	-1		1	2	How are the operations to store and dequeue elements in a stack implemented ?
How	SCONJ	0	18p0_pert_1	18p0	0	0	0	31	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
are	AUX	0	18p0_pert_1	18p0	0	0	1	32	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
the	DET	0	18p0_pert_1	18p0	0	0	2	33	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
operations	NOUN	0	18p0_pert_1	18p0	0	0	3	34	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
to	PART	0	18p0_pert_1	18p0	0	0	4	35	0	0	How are the operations to stack and dequeue elements in a stack implemented ?
